period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awaySOG,homeSOG,reason,awayScore,homeScore,typeCode,descKey,duration,servedByPlayerId,secondaryReason,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,right,period-start,10,1,REG,,,,,,0.0,0.0,,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,0,,,,,,,5,5,5v5,8478483.0,8479318.0,8476853.0,8477479.0,8474673.0,,8476875.0,8480018.0,8476981.0,8481540.0,8475233.0,,Mitchell Marner,Auston Matthews,Morgan Rielly,Tyler Bertuzzi,TJ Brodie,,Mike Matheson,Nick Suzuki,Josh Anderson,Cole Caufield,David Savard,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
1,00:00,20:00,right,faceoff,11,1,REG,0.0,0.0,N,,,0.0,0.0,,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,0,100.0,MTL,0.0,8480018.0,8479318.0,,5,5,5v5,8478483.0,8479318.0,8476853.0,8477479.0,8474673.0,,8476875.0,8480018.0,8476981.0,8481540.0,8475233.0,,Mitchell Marner,Auston Matthews,Morgan Rielly,Tyler Bertuzzi,TJ Brodie,,Mike Matheson,Nick Suzuki,Josh Anderson,Cole Caufield,David Savard,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
1,00:36,19:24,right,takeaway,15,1,REG,64.0,-28.0,D,,,0.0,0.0,,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,36,36.0,TOR,1.0,8474673.0,,,5,5,5v5,8478483.0,8479318.0,8476853.0,8477479.0,8474673.0,,8476981.0,8482087.0,8481540.0,8480192.0,8481523.0,,Mitchell Marner,Auston Matthews,Morgan Rielly,Tyler Bertuzzi,TJ Brodie,,Josh Anderson,Kaiden Guhle,Cole Caufield,Johnathan Kovacevic,Kirby Dach,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
1,00:49,19:11,right,shot-on-goal,21,1,REG,-49.0,-15.0,O,wrist,8474596.0,0.0,1.0,,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,49,149.0,TOR,1.0,8477503.0,,,5,5,5v5,8475906.0,8477503.0,8476931.0,8477939.0,8475166.0,,8481618.0,8476981.0,8482087.0,8480192.0,8481523.0,,John Klingberg,Max Domi,Jake McCabe,William Nylander,John Tavares,,Alex Newhook,Josh Anderson,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
1,00:54,19:06,right,hit,22,1,REG,-88.0,-32.0,D,,,0.0,1.0,,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,54,188.0,MTL,0.0,8480192.0,8477503.0,,5,5,5v5,8475906.0,8477503.0,8476931.0,8477939.0,8475166.0,,8481618.0,8476981.0,8482087.0,8480192.0,8481523.0,,John Klingberg,Max Domi,Jake McCabe,William Nylander,John Tavares,,Alex Newhook,Josh Anderson,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
1,00:54,19:06,right,shot-on-goal,23,1,REG,-96.0,14.0,D,wrist,8478492.0,1.0,1.0,,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,54,196.0,MTL,0.0,8482087.0,,,5,5,5v5,8475906.0,8477503.0,8476931.0,8477939.0,8475166.0,,8481618.0,8476981.0,8482087.0,8480192.0,8481523.0,,John Klingberg,Max Domi,Jake McCabe,William Nylander,John Tavares,,Alex Newhook,Josh Anderson,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
1,01:09,18:51,right,shot-on-goal,25,1,REG,-62.0,34.0,O,wrist,8474596.0,1.0,2.0,,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,69,162.0,TOR,1.0,8475906.0,,,5,5,5v5,8475906.0,8477503.0,8476931.0,8477939.0,8475166.0,,8481618.0,8483515.0,8482087.0,8480192.0,8481523.0,,John Klingberg,Max Domi,Jake McCabe,William Nylander,John Tavares,,Alex Newhook,Juraj Slafkovsky,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
1,01:10,18:50,right,stoppage,26,1,REG,,,,,,1.0,2.0,goalie-stopped-after-sog,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,70,,,,,,,5,5,5v5,8475906.0,8477503.0,8476931.0,8477939.0,8475166.0,,8481618.0,8483515.0,8482087.0,8480192.0,8481523.0,,John Klingberg,Max Domi,Jake McCabe,William Nylander,John Tavares,,Alex Newhook,Juraj Slafkovsky,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
1,01:10,18:50,right,faceoff,27,1,REG,-69.0,22.0,O,,,1.0,2.0,,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,70,169.0,TOR,1.0,8475166.0,8481618.0,,5,5,5v5,8475906.0,8477503.0,8476931.0,8477939.0,8475166.0,,8481618.0,8483515.0,8482087.0,8480192.0,8481523.0,,John Klingberg,Max Domi,Jake McCabe,William Nylander,John Tavares,,Alex Newhook,Juraj Slafkovsky,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
1,01:48,18:12,right,hit,36,1,REG,26.0,-27.0,D,,,1.0,2.0,,0.0,0.0,,,,,,2023020005,20232024,2023-10-11,2,Scotiabank Arena,108,74.0,TOR,1.0,8470966.0,8480887.0,,5,5,5v5,8475714.0,8482720.0,8480043.0,8483489.0,8470966.0,,8475848.0,8480887.0,8476871.0,8482964.0,8477497.0,,Calle Jarnkrok,Matthew Knies,Timothy Liljegren,Fraser Minten,Mark Giordano,,Brendan Gallagher,Jordan Harris,Tanner Pearson,Arber Xhekaj,Sean Monahan,,8478492.0,8474596.0,Ilya Samsonov,Jake Allen
