period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,reason,shotType,goalieInNetId,awaySOG,homeSOG,typeCode,descKey,duration,secondaryReason,awayScore,homeScore,servedByPlayerId,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,right,period-start,8,1,REG,,,,,,,0.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,0,,,,,,,5,5,5v5,8476875.0,8480018.0,8481540.0,8481093.0,8475233.0,,8480884.0,8478493.0,8476463.0,8475149.0,8478864.0,,Mike Matheson,Nick Suzuki,Cole Caufield,Rafael Harvey-Pinard,David Savard,,Calen Addison,Joel Eriksson Ek,Jonas Brodin,Marcus Johansson,Kirill Kaprizov,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,00:00,20:00,right,faceoff,9,1,REG,0.0,0.0,N,,,,0.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,0,100.0,MIN,0.0,8478493.0,8480018.0,,5,5,5v5,8476875.0,8480018.0,8481540.0,8481093.0,8475233.0,,8480884.0,8478493.0,8476463.0,8475149.0,8478864.0,,Mike Matheson,Nick Suzuki,Cole Caufield,Rafael Harvey-Pinard,David Savard,,Calen Addison,Joel Eriksson Ek,Jonas Brodin,Marcus Johansson,Kirill Kaprizov,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,00:23,19:37,right,giveaway,10,1,REG,-57.0,41.0,D,,,,0.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,23,157.0,MIN,0.0,8475149.0,,,5,5,5v5,8476875.0,8480018.0,8481540.0,8481093.0,8475233.0,,8480884.0,8478493.0,8476463.0,8475149.0,8478864.0,,Mike Matheson,Nick Suzuki,Cole Caufield,Rafael Harvey-Pinard,David Savard,,Calen Addison,Joel Eriksson Ek,Jonas Brodin,Marcus Johansson,Kirill Kaprizov,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,00:24,19:36,right,missed-shot,11,1,REG,-54.0,-20.0,O,short,slap,8470594.0,0.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,24,154.0,MTL,1.0,8480018.0,,,5,5,5v5,8476875.0,8480018.0,8481540.0,8481093.0,8475233.0,,8480884.0,8478493.0,8476463.0,8475149.0,8478864.0,,Mike Matheson,Nick Suzuki,Cole Caufield,Rafael Harvey-Pinard,David Savard,,Calen Addison,Joel Eriksson Ek,Jonas Brodin,Marcus Johansson,Kirill Kaprizov,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,00:29,19:31,right,hit,12,1,REG,-68.0,-39.0,D,,,,0.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,29,168.0,MIN,0.0,8478493.0,8475233.0,,5,5,5v5,8476875.0,8480018.0,8481540.0,8481093.0,8475233.0,,8480884.0,8478493.0,8476463.0,8475149.0,8478864.0,,Mike Matheson,Nick Suzuki,Cole Caufield,Rafael Harvey-Pinard,David Savard,,Calen Addison,Joel Eriksson Ek,Jonas Brodin,Marcus Johansson,Kirill Kaprizov,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,01:20,18:40,right,stoppage,21,1,REG,,,,offside,,,0.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,80,,,,,,,5,5,5v5,8481618.0,8483515.0,8480887.0,8476871.0,8482964.0,,8478136.0,8482122.0,8475220.0,8482079.0,8477919.0,,Alex Newhook,Juraj Slafkovsky,Jordan Harris,Tanner Pearson,Arber Xhekaj,,Jake Middleton,Brock Faber,Marcus Foligno,Marco Rossi,Frederick Gaudreau,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,01:20,18:40,right,faceoff,22,1,REG,20.0,-22.0,N,,,,0.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,80,80.0,MIN,0.0,8477919.0,8481618.0,,5,5,5v5,8481618.0,8483515.0,8480887.0,8476871.0,8482964.0,,8478136.0,8482122.0,8475220.0,8482079.0,8477919.0,,Alex Newhook,Juraj Slafkovsky,Jordan Harris,Tanner Pearson,Arber Xhekaj,,Jake Middleton,Brock Faber,Marcus Foligno,Marco Rossi,Frederick Gaudreau,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,01:31,18:29,right,giveaway,23,1,REG,46.0,42.0,D,,,,0.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,91,54.0,MTL,1.0,8483515.0,,,5,5,5v5,8481618.0,8483515.0,8480887.0,8476871.0,8482964.0,,8478136.0,8482122.0,8475220.0,8482079.0,8477919.0,,Alex Newhook,Juraj Slafkovsky,Jordan Harris,Tanner Pearson,Arber Xhekaj,,Jake Middleton,Brock Faber,Marcus Foligno,Marco Rossi,Frederick Gaudreau,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,02:06,17:54,right,hit,32,1,REG,98.0,3.0,D,,,,0.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,126,2.0,MTL,1.0,8476981.0,8478864.0,,5,5,5v5,8475848.0,8476981.0,8480887.0,8482964.0,8477497.0,,8475750.0,8477541.0,8475692.0,8477451.0,8478864.0,,Brendan Gallagher,Josh Anderson,Jordan Harris,Arber Xhekaj,Sean Monahan,,Jon Merrill,Dakota Mermis,Mats Zuccarello,Ryan Hartman,Kirill Kaprizov,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,02:46,17:14,right,shot-on-goal,34,1,REG,-61.0,-21.0,D,,slap,8478470.0,1.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,166,161.0,MIN,0.0,8477451.0,,,5,5,5v5,8475848.0,8476981.0,8482087.0,8480192.0,8477497.0,,8475750.0,8477541.0,8475692.0,8477451.0,8478864.0,,Brendan Gallagher,Josh Anderson,Kaiden Guhle,Johnathan Kovacevic,Sean Monahan,,Jon Merrill,Dakota Mermis,Mats Zuccarello,Ryan Hartman,Kirill Kaprizov,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,03:14,16:46,right,hit,42,1,REG,-97.0,-16.0,O,,,,1.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,194,197.0,MTL,1.0,8479543.0,8480884.0,,5,5,5v5,8480887.0,8479543.0,8481058.0,8478133.0,8482964.0,,8480884.0,8474034.0,8479520.0,8476463.0,8480980.0,,Jordan Harris,Michael Pezzetta,Jesse Ylönen,Jake Evans,Arber Xhekaj,,Calen Addison,Pat Maroon,Brandon Duhaime,Jonas Brodin,Connor Dewar,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
1,03:22,16:38,right,giveaway,43,1,REG,10.0,-2.0,N,,,,1.0,0.0,,,,,0.0,0.0,,2023020041,20232024,2023-10-17,2,Centre Bell,202,90.0,MTL,1.0,8480887.0,,,5,5,5v5,8480887.0,8479543.0,8481058.0,8478133.0,8482964.0,,8480884.0,8474034.0,8479520.0,8476463.0,8480980.0,,Jordan Harris,Michael Pezzetta,Jesse Ylönen,Jake Evans,Arber Xhekaj,,Calen Addison,Pat Maroon,Brandon Duhaime,Jonas Brodin,Connor Dewar,,8478470.0,8470594.0,Sam Montembeault,Marc-Andre Fleury
