period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awaySOG,homeSOG,reason,typeCode,descKey,duration,awayScore,homeScore,secondaryReason,servedByPlayerId,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,right,period-start,8,1,REG,,,,,,0.0,0.0,,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,0,,,,,,,5,5,5v5,8475848.0,8480887.0,8476871.0,8482964.0,8477497.0,8480145.0,8475455.0,8476392.0,8478891.0,8475799.0,Brendan Gallagher,Jordan Harris,Tanner Pearson,Arber Xhekaj,Sean Monahan,Neal Pionk,Brenden Dillon,Adam Lowry,Mason Appleton,Nino Niederreiter,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
1,00:00,20:00,right,faceoff,9,1,REG,0.0,0.0,N,,,0.0,0.0,,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,0,100.0,MTL,1.0,8477497.0,8476392.0,,5,5,5v5,8475848.0,8480887.0,8476871.0,8482964.0,8477497.0,8480145.0,8475455.0,8476392.0,8478891.0,8475799.0,Brendan Gallagher,Jordan Harris,Tanner Pearson,Arber Xhekaj,Sean Monahan,Neal Pionk,Brenden Dillon,Adam Lowry,Mason Appleton,Nino Niederreiter,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
1,00:14,19:46,right,hit,10,1,REG,-99.0,15.0,O,,,0.0,0.0,,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,14,199.0,MTL,1.0,8475848.0,8475455.0,,5,5,5v5,8475848.0,8480887.0,8476871.0,8482964.0,8477497.0,8480145.0,8475455.0,8476392.0,8478891.0,8475799.0,Brendan Gallagher,Jordan Harris,Tanner Pearson,Arber Xhekaj,Sean Monahan,Neal Pionk,Brenden Dillon,Adam Lowry,Mason Appleton,Nino Niederreiter,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
1,00:26,19:34,right,shot-on-goal,11,1,REG,30.0,-40.0,O,wrist,8474596.0,1.0,0.0,,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,26,70.0,WPG,0.0,8480145.0,,,5,5,5v5,8475848.0,8480887.0,8476871.0,8482964.0,8477497.0,8480145.0,8475455.0,8476392.0,8478891.0,8475799.0,Brendan Gallagher,Jordan Harris,Tanner Pearson,Arber Xhekaj,Sean Monahan,Neal Pionk,Brenden Dillon,Adam Lowry,Mason Appleton,Nino Niederreiter,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
1,01:26,18:34,right,shot-on-goal,22,1,REG,31.0,-24.0,O,wrist,8474596.0,2.0,0.0,,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,86,69.0,WPG,0.0,8476331.0,,,5,5,5v5,8476875.0,8480018.0,8481540.0,8480192.0,8481093.0,8476331.0,8480113.0,8477504.0,8476460.0,8478398.0,Mike Matheson,Nick Suzuki,Cole Caufield,Johnathan Kovacevic,Rafael Harvey-Pinard,Dylan DeMelo,Alex Iafallo,Josh Morrissey,Mark Scheifele,Kyle Connor,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
1,01:28,18:32,right,stoppage,23,1,REG,,,,,,2.0,0.0,goalie-stopped-after-sog,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,88,,,,,,,5,5,5v5,8481618.0,8476981.0,8483515.0,8482087.0,8482111.0,8476480.0,8477940.0,8480049.0,8477220.0,8482149.0,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Kaiden Guhle,Justin Barron,Vladislav Namestnikov,Nikolaj Ehlers,Dylan Samberg,Nate Schmidt,Cole Perfetti,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
1,01:28,18:32,right,faceoff,26,1,REG,69.0,-22.0,D,,,2.0,0.0,,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,88,31.0,MTL,1.0,8481618.0,8482149.0,,5,5,5v5,8481618.0,8476981.0,8483515.0,8482087.0,8482111.0,8476480.0,8477940.0,8480049.0,8477220.0,8482149.0,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Kaiden Guhle,Justin Barron,Vladislav Namestnikov,Nikolaj Ehlers,Dylan Samberg,Nate Schmidt,Cole Perfetti,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
1,02:02,17:58,right,stoppage,29,1,REG,,,,,,2.0,0.0,offside,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,122,,,,,,,5,5,5v5,8476469.0,8480887.0,8479543.0,8478133.0,8482964.0,8476331.0,8480845.0,8481019.0,8480289.0,8477504.0,Joel Armia,Jordan Harris,Michael Pezzetta,Jake Evans,Arber Xhekaj,Dylan DeMelo,Rasmus Kupari,David Gustafsson,Morgan Barron,Josh Morrissey,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
1,02:02,17:58,right,faceoff,32,1,REG,20.0,-22.0,N,,,2.0,0.0,,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,122,80.0,MTL,1.0,8478133.0,8480845.0,,5,5,5v5,8476469.0,8480887.0,8479543.0,8478133.0,8482964.0,8476331.0,8480845.0,8481019.0,8480289.0,8477504.0,Joel Armia,Jordan Harris,Michael Pezzetta,Jake Evans,Arber Xhekaj,Dylan DeMelo,Rasmus Kupari,David Gustafsson,Morgan Barron,Josh Morrissey,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
1,02:16,17:44,right,hit,33,1,REG,19.0,42.0,N,,,2.0,0.0,,,,,0.0,0.0,,,2023020121,20232024,2023-10-28,2,Centre Bell,136,81.0,MTL,1.0,8479543.0,8481019.0,,5,5,5v5,8476469.0,8480887.0,8479543.0,8478133.0,8482964.0,8476331.0,8480845.0,8481019.0,8480289.0,8477504.0,Joel Armia,Jordan Harris,Michael Pezzetta,Jake Evans,Arber Xhekaj,Dylan DeMelo,Rasmus Kupari,David Gustafsson,Morgan Barron,Josh Morrissey,8474596.0,8476316.0,Jake Allen,Laurent Brossoit
