period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,reason,shotType,goalieInNetId,awaySOG,homeSOG,typeCode,descKey,duration,awayScore,homeScore,secondaryReason,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,left,period-start,8,1,REG,,,,,,,0.0,0.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,0,,,,,,,5,5,5v5,8475760.0,8480434.0,8481711.0,8478474.0,8482655.0,,8476875.0,8480018.0,8481540.0,8480192.0,8481093.0,,Nick Bjugstad,Sean Durzi,Matias Maccelli,Lawson Crouse,J.J. Moser,,Mike Matheson,Nick Suzuki,Cole Caufield,Johnathan Kovacevic,Rafael Harvey-Pinard,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,00:00,20:00,left,faceoff,11,1,REG,0.0,0.0,N,,,,0.0,0.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,0,0.0,MTL,0.0,8480018.0,8475760.0,,5,5,5v5,8475760.0,8480434.0,8481711.0,8478474.0,8482655.0,,8476875.0,8480018.0,8481540.0,8480192.0,8481093.0,,Nick Bjugstad,Sean Durzi,Matias Maccelli,Lawson Crouse,J.J. Moser,,Mike Matheson,Nick Suzuki,Cole Caufield,Johnathan Kovacevic,Rafael Harvey-Pinard,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,00:46,19:14,left,missed-shot,19,1,REG,68.0,26.0,O,wide-right,slap,8474596.0,0.0,0.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,46,68.0,ARI,1.0,8477951.0,,,5,5,5v5,8479976.0,8477951.0,8479343.0,8480849.0,8479442.0,,8475848.0,8482087.0,8482111.0,8476871.0,8477497.0,,Juuso Valimaki,Nick Schmaltz,Clayton Keller,Barrett Hayton,Troy Stecher,,Brendan Gallagher,Kaiden Guhle,Justin Barron,Tanner Pearson,Sean Monahan,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,00:53,19:07,left,blocked-shot,20,1,REG,75.0,6.0,D,,,,0.0,0.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,53,75.0,MTL,0.0,8479343.0,8477497.0,,5,5,5v5,8479976.0,8477951.0,8479343.0,8480849.0,8479442.0,,8475848.0,8482087.0,8482111.0,8476871.0,8477497.0,,Juuso Valimaki,Nick Schmaltz,Clayton Keller,Barrett Hayton,Troy Stecher,,Brendan Gallagher,Kaiden Guhle,Justin Barron,Tanner Pearson,Sean Monahan,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,01:02,18:58,left,shot-on-goal,21,1,REG,46.0,-10.0,O,,wrist,8474596.0,0.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,62,46.0,ARI,1.0,8479343.0,,,5,5,5v5,8479976.0,8477951.0,8479343.0,8480849.0,8479442.0,,8475848.0,8482087.0,8482111.0,8476871.0,8477497.0,,Juuso Valimaki,Nick Schmaltz,Clayton Keller,Barrett Hayton,Troy Stecher,,Brendan Gallagher,Kaiden Guhle,Justin Barron,Tanner Pearson,Sean Monahan,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,01:04,18:56,left,stoppage,22,1,REG,,,,goalie-stopped-after-sog,,,0.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,64,,,,,,,5,5,5v5,8476856.0,8478408.0,8479619.0,8478474.0,8483431.0,,8481618.0,8476981.0,8483515.0,8482087.0,8482111.0,,Matt Dumba,Travis Dermott,Michael Carcone,Lawson Crouse,Logan Cooley,,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Kaiden Guhle,Justin Barron,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,01:04,18:56,left,faceoff,25,1,REG,69.0,-22.0,D,,,,0.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,64,69.0,MTL,0.0,8481618.0,8483431.0,,5,5,5v5,8476856.0,8478408.0,8479619.0,8478474.0,8483431.0,,8481618.0,8476981.0,8483515.0,8482087.0,8482111.0,,Matt Dumba,Travis Dermott,Michael Carcone,Lawson Crouse,Logan Cooley,,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Kaiden Guhle,Justin Barron,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,01:28,18:32,left,takeaway,27,1,REG,5.0,-35.0,N,,,,0.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,88,5.0,MTL,0.0,8481618.0,,,5,5,5v5,8476856.0,8478408.0,8479619.0,8478474.0,8483431.0,,8481618.0,8476981.0,8483515.0,8480887.0,8482964.0,,Matt Dumba,Travis Dermott,Michael Carcone,Lawson Crouse,Logan Cooley,,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Jordan Harris,Arber Xhekaj,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,01:34,18:26,left,hit,28,1,REG,-99.0,-17.0,D,,,,0.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,94,-99.0,ARI,1.0,8476856.0,8476981.0,,5,5,5v5,8476856.0,8478408.0,8479619.0,8478474.0,8483431.0,,8481618.0,8476981.0,8483515.0,8480887.0,8482964.0,,Matt Dumba,Travis Dermott,Michael Carcone,Lawson Crouse,Logan Cooley,,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Jordan Harris,Arber Xhekaj,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,01:57,18:03,left,shot-on-goal,29,1,REG,-29.0,-7.0,O,,deflected,8478971.0,1.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,117,-29.0,MTL,0.0,8482964.0,,,5,5,5v5,8476856.0,8478408.0,8479619.0,8478474.0,8483431.0,,8481618.0,8476981.0,8483515.0,8480887.0,8482964.0,,Matt Dumba,Travis Dermott,Michael Carcone,Lawson Crouse,Logan Cooley,,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Jordan Harris,Arber Xhekaj,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,02:00,18:00,left,stoppage,30,1,REG,,,,goalie-stopped-after-sog,,,1.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,120,,,,,,,5,5,5v5,8477384.0,8477021.0,8480855.0,8477070.0,8479442.0,,8476469.0,8480887.0,8481058.0,8478133.0,8482964.0,,Josh Brown,Alex Kerfoot,Jack McBain,Liam O'Brien,Troy Stecher,,Joel Armia,Jordan Harris,Jesse Ylönen,Jake Evans,Arber Xhekaj,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,02:00,18:00,left,faceoff,33,1,REG,-69.0,-22.0,O,,,,1.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,120,-69.0,MTL,0.0,8478133.0,8477021.0,,5,5,5v5,8477384.0,8477021.0,8480855.0,8477070.0,8479442.0,,8476469.0,8480887.0,8481058.0,8478133.0,8482964.0,,Josh Brown,Alex Kerfoot,Jack McBain,Liam O'Brien,Troy Stecher,,Joel Armia,Jordan Harris,Jesse Ylönen,Jake Evans,Arber Xhekaj,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,02:10,17:50,left,hit,34,1,REG,18.0,-41.0,N,,,,1.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,130,18.0,MTL,0.0,8482964.0,8477384.0,,5,5,5v5,8477384.0,8477021.0,8480855.0,8477070.0,8479442.0,,8476469.0,8480887.0,8481058.0,8478133.0,8482964.0,,Josh Brown,Alex Kerfoot,Jack McBain,Liam O'Brien,Troy Stecher,,Joel Armia,Jordan Harris,Jesse Ylönen,Jake Evans,Arber Xhekaj,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,02:15,17:45,left,hit,35,1,REG,97.0,-11.0,O,,,,1.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,135,97.0,ARI,1.0,8480855.0,8480887.0,,5,5,5v5,8477384.0,8477021.0,8480855.0,8477070.0,8479442.0,,8476469.0,8480887.0,8481058.0,8478133.0,8482964.0,,Josh Brown,Alex Kerfoot,Jack McBain,Liam O'Brien,Troy Stecher,,Joel Armia,Jordan Harris,Jesse Ylönen,Jake Evans,Arber Xhekaj,,8478971.0,8474596.0,Connor Ingram,Jake Allen
1,02:36,17:24,left,takeaway,39,1,REG,-20.0,36.0,N,,,,1.0,1.0,,,,0.0,0.0,,2023020153,20232024,2023-11-02,2,Mullett Arena,156,-20.0,MTL,0.0,8476469.0,,,5,5,5v5,8477384.0,8477021.0,8480855.0,8477070.0,8479442.0,,8476875.0,8480018.0,8480192.0,8476469.0,8481058.0,,Josh Brown,Alex Kerfoot,Jack McBain,Liam O'Brien,Troy Stecher,,Mike Matheson,Nick Suzuki,Johnathan Kovacevic,Joel Armia,Jesse Ylönen,,8478971.0,8474596.0,Connor Ingram,Jake Allen
