period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awaySOG,homeSOG,reason,awayScore,homeScore,typeCode,descKey,duration,secondaryReason,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,left,period-start,8,1,REG,,,,,,0.0,0.0,,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,0,,,,,,,5,5,5v5,8475181.0,8480023.0,8477953.0,8476892.0,8477402.0,,8480018.0,8483515.0,8482087.0,8481540.0,8482111.0,,Nick Leddy,Robert Thomas,Kasperi Kapanen,Colton Parayko,Pavel Buchnevich,,Nick Suzuki,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Justin Barron,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,00:00,20:00,left,faceoff,11,1,REG,0.0,0.0,N,,,0.0,0.0,,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,0,0.0,STL,1.0,8480023.0,8480018.0,,5,5,5v5,8475181.0,8480023.0,8477953.0,8476892.0,8477402.0,,8480018.0,8483515.0,8482087.0,8481540.0,8482111.0,,Nick Leddy,Robert Thomas,Kasperi Kapanen,Colton Parayko,Pavel Buchnevich,,Nick Suzuki,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Justin Barron,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,00:16,19:44,left,shot-on-goal,12,1,REG,-60.0,24.0,O,wrist,8480981.0,1.0,0.0,,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,16,-60.0,MTL,0.0,8481540.0,,,5,5,5v5,8475181.0,8480023.0,8477953.0,8476892.0,8477402.0,,8480018.0,8483515.0,8482087.0,8481540.0,8482111.0,,Nick Leddy,Robert Thomas,Kasperi Kapanen,Colton Parayko,Pavel Buchnevich,,Nick Suzuki,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Justin Barron,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,00:17,19:43,left,stoppage,13,1,REG,,,,,,1.0,0.0,goalie-stopped-after-sog,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,17,,,,,,,5,5,5v5,8475181.0,8480023.0,8477953.0,8476892.0,8477402.0,,8480018.0,8483515.0,8482087.0,8481540.0,8482111.0,,Nick Leddy,Robert Thomas,Kasperi Kapanen,Colton Parayko,Pavel Buchnevich,,Nick Suzuki,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Justin Barron,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,00:17,19:43,left,faceoff,14,1,REG,-69.0,22.0,D,,,1.0,0.0,,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,17,-69.0,STL,1.0,8480023.0,8480018.0,,5,5,5v5,8475181.0,8480023.0,8477953.0,8476892.0,8477402.0,,8480018.0,8483515.0,8482087.0,8481540.0,8482111.0,,Nick Leddy,Robert Thomas,Kasperi Kapanen,Colton Parayko,Pavel Buchnevich,,Nick Suzuki,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Justin Barron,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,00:45,19:15,left,shot-on-goal,21,1,REG,79.0,0.0,O,wrist,8478470.0,1.0,1.0,,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,45,79.0,STL,1.0,8476892.0,,,5,5,5v5,8475170.0,8476438.0,8479385.0,8476892.0,8475753.0,,8476875.0,8475848.0,8481540.0,8480192.0,8477497.0,,Brayden Schenn,Brandon Saad,Jordan Kyrou,Colton Parayko,Justin Faulk,,Mike Matheson,Brendan Gallagher,Cole Caufield,Johnathan Kovacevic,Sean Monahan,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,00:50,19:10,left,blocked-shot,23,1,REG,73.0,-9.0,D,,,1.0,1.0,,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,50,73.0,MTL,0.0,8475753.0,8480192.0,,5,5,5v5,8475170.0,8476438.0,8479385.0,8476892.0,8475753.0,,8476875.0,8475848.0,8480192.0,8476871.0,8477497.0,,Brayden Schenn,Brandon Saad,Jordan Kyrou,Colton Parayko,Justin Faulk,,Mike Matheson,Brendan Gallagher,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,01:07,18:53,left,blocked-shot,24,1,REG,-74.0,2.0,D,,,1.0,1.0,,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,67,-74.0,STL,1.0,8475848.0,8475753.0,,5,5,5v5,8475170.0,8476438.0,8479385.0,8476892.0,8475753.0,,8476875.0,8475848.0,8480192.0,8476871.0,8477497.0,,Brayden Schenn,Brandon Saad,Jordan Kyrou,Colton Parayko,Justin Faulk,,Mike Matheson,Brendan Gallagher,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,01:08,18:52,left,giveaway,25,1,REG,-58.0,41.0,D,,,1.0,1.0,,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,68,-58.0,STL,1.0,8475170.0,,,5,5,5v5,8475170.0,8476438.0,8479385.0,8476892.0,8475753.0,,8476875.0,8475848.0,8480192.0,8476871.0,8477497.0,,Brayden Schenn,Brandon Saad,Jordan Kyrou,Colton Parayko,Justin Faulk,,Mike Matheson,Brendan Gallagher,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,01:18,18:42,left,missed-shot,27,1,REG,61.0,-4.0,O,wrist,8478470.0,1.0,1.0,high-and-wide-left,0.0,0.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,78,61.0,STL,1.0,8475170.0,,,5,5,5v5,8475170.0,8476438.0,8479385.0,8476792.0,8475753.0,,8476875.0,8475848.0,8480192.0,8476871.0,8477497.0,,Brayden Schenn,Brandon Saad,Jordan Kyrou,Torey Krug,Justin Faulk,,Mike Matheson,Brendan Gallagher,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,01:24,18:36,left,goal,28,1,REG,73.0,-7.0,O,snap,8478470.0,1.0,1.0,,0.0,1.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,84,73.0,STL,1.0,8479385.0,8475170.0,,5,5,5v5,8475763.0,8480281.0,8477944.0,8476792.0,8475753.0,,8481618.0,8476981.0,8477989.0,8480887.0,8482964.0,,Kevin Hayes,Alexey Toropchenko,Jakub Vrana,Torey Krug,Justin Faulk,,Alex Newhook,Josh Anderson,Christian Dvorak,Jordan Harris,Arber Xhekaj,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,01:24,18:36,left,faceoff,31,1,REG,0.0,0.0,N,,,1.0,1.0,,0.0,1.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,84,0.0,STL,1.0,8475763.0,8477989.0,,5,5,5v5,8475763.0,8480281.0,8477944.0,8476792.0,8475753.0,,8481618.0,8476981.0,8477989.0,8480887.0,8482964.0,,Kevin Hayes,Alexey Toropchenko,Jakub Vrana,Torey Krug,Justin Faulk,,Alex Newhook,Josh Anderson,Christian Dvorak,Jordan Harris,Arber Xhekaj,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,01:43,18:17,left,hit,33,1,REG,32.0,-32.0,D,,,1.0,1.0,,0.0,1.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,103,32.0,MTL,0.0,8482964.0,8480281.0,,5,5,5v5,8480281.0,8477944.0,8476792.0,8476897.0,8475753.0,,8481618.0,8476981.0,8477989.0,8480887.0,8482964.0,,Alexey Toropchenko,Jakub Vrana,Torey Krug,Oskar Sundqvist,Justin Faulk,,Alex Newhook,Josh Anderson,Christian Dvorak,Jordan Harris,Arber Xhekaj,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,02:08,17:52,left,missed-shot,37,1,REG,-65.0,16.0,O,wrist,8480981.0,1.0,1.0,wide-right,0.0,1.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,128,-65.0,MTL,0.0,8476981.0,,,5,5,5v5,8474618.0,8477944.0,8476897.0,8475753.0,8478104.0,,8481618.0,8476981.0,8482087.0,8477989.0,8482964.0,,Marco Scandella,Jakub Vrana,Oskar Sundqvist,Justin Faulk,Sammy Blais,,Alex Newhook,Josh Anderson,Kaiden Guhle,Christian Dvorak,Arber Xhekaj,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,02:28,17:32,left,blocked-shot,43,1,REG,68.0,-8.0,D,,,1.0,1.0,,0.0,1.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,148,68.0,MTL,0.0,8474618.0,8482087.0,,5,5,5v5,8474618.0,8482089.0,8476897.0,8481006.0,8478104.0,,8482087.0,8476469.0,8479543.0,8478133.0,8482964.0,,Marco Scandella,Jake Neighbours,Oskar Sundqvist,Tyler Tucker,Sammy Blais,,Kaiden Guhle,Joel Armia,Michael Pezzetta,Jake Evans,Arber Xhekaj,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
1,02:37,17:23,left,takeaway,45,1,REG,-55.0,0.0,D,,,1.0,1.0,,0.0,1.0,,,,,2023020164,20232024,2023-11-04,2,Enterprise Center,157,-55.0,STL,1.0,8481006.0,,,5,5,5v5,8474618.0,8482089.0,8476897.0,8481006.0,8478104.0,,8482087.0,8476469.0,8482111.0,8479543.0,8478133.0,,Marco Scandella,Jake Neighbours,Oskar Sundqvist,Tyler Tucker,Sammy Blais,,Kaiden Guhle,Joel Armia,Justin Barron,Michael Pezzetta,Jake Evans,,8480981.0,8478470.0,Joel Hofer,Sam Montembeault
