period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awaySOG,homeSOG,reason,typeCode,descKey,duration,secondaryReason,awayScore,homeScore,servedByPlayerId,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,right,period-start,8,1,REG,,,,,,0.0,0.0,,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,0,,,,,,,5,5,5v5,8475279.0,8480011.0,8479992.0,8478432.0,8473507.0,,8475848.0,8482087.0,8480192.0,8476871.0,8477497.0,,Ben Chiarot,Klim Kostin,Michael Rasmussen,Christian Fischer,Jeff Petry,,Brendan Gallagher,Kaiden Guhle,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8473503.0,8480051.0,James Reimer,Cayden Primeau
1,00:00,20:00,right,faceoff,11,1,REG,0.0,0.0,N,,,0.0,0.0,,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,0,100.0,MTL,0.0,8477497.0,8479992.0,,5,5,5v5,8475279.0,8480011.0,8479992.0,8478432.0,8473507.0,,8475848.0,8482087.0,8480192.0,8476871.0,8477497.0,,Ben Chiarot,Klim Kostin,Michael Rasmussen,Christian Fischer,Jeff Petry,,Brendan Gallagher,Kaiden Guhle,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8473503.0,8480051.0,James Reimer,Cayden Primeau
1,00:18,19:42,right,shot-on-goal,12,1,REG,-41.0,27.0,O,slap,8480051.0,0.0,1.0,,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,18,141.0,DET,1.0,8473507.0,,,5,5,5v5,8475279.0,8480011.0,8479992.0,8478432.0,8473507.0,,8475848.0,8482087.0,8480192.0,8476871.0,8477497.0,,Ben Chiarot,Klim Kostin,Michael Rasmussen,Christian Fischer,Jeff Petry,,Brendan Gallagher,Kaiden Guhle,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8473503.0,8480051.0,James Reimer,Cayden Primeau
1,00:20,19:40,right,stoppage,13,1,REG,,,,,,0.0,1.0,goalie-stopped-after-sog,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,20,,,,,,,5,5,5v5,8475279.0,8477429.0,8478512.0,8477456.0,8473507.0,,8475848.0,8482087.0,8480192.0,8476871.0,8477497.0,,Ben Chiarot,Andrew Copp,Austin Czarnik,J.T. Compher,Jeff Petry,,Brendan Gallagher,Kaiden Guhle,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8473503.0,8480051.0,James Reimer,Cayden Primeau
1,00:20,19:40,right,faceoff,15,1,REG,-69.0,22.0,D,,,0.0,1.0,,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,20,169.0,MTL,0.0,8477497.0,8477456.0,,5,5,5v5,8475279.0,8477429.0,8478512.0,8477456.0,8473507.0,,8475848.0,8482087.0,8480192.0,8476871.0,8477497.0,,Ben Chiarot,Andrew Copp,Austin Czarnik,J.T. Compher,Jeff Petry,,Brendan Gallagher,Kaiden Guhle,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8473503.0,8480051.0,James Reimer,Cayden Primeau
1,00:37,19:23,right,shot-on-goal,16,1,REG,34.0,-36.0,O,wrist,8473503.0,1.0,1.0,,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,37,66.0,MTL,0.0,8482087.0,,,5,5,5v5,8475279.0,8477429.0,8478512.0,8477456.0,8473507.0,,8475848.0,8482087.0,8480192.0,8476871.0,8477497.0,,Ben Chiarot,Andrew Copp,Austin Czarnik,J.T. Compher,Jeff Petry,,Brendan Gallagher,Kaiden Guhle,Johnathan Kovacevic,Tanner Pearson,Sean Monahan,,8473503.0,8480051.0,James Reimer,Cayden Primeau
1,00:39,19:21,right,stoppage,17,1,REG,,,,,,1.0,1.0,goalie-stopped-after-sog,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,39,,,,,,,5,5,5v5,8482078.0,8481542.0,8477946.0,8479337.0,8478013.0,,8476875.0,8480018.0,8481618.0,8476981.0,8482111.0,,Lucas Raymond,Moritz Seider,Dylan Larkin,Alex DeBrincat,Jake Walman,,Mike Matheson,Nick Suzuki,Alex Newhook,Josh Anderson,Justin Barron,,8473503.0,8480051.0,James Reimer,Cayden Primeau
1,00:39,19:21,right,faceoff,20,1,REG,69.0,-22.0,O,,,1.0,1.0,,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,39,31.0,MTL,0.0,8480018.0,8477946.0,,5,5,5v5,8482078.0,8481542.0,8477946.0,8479337.0,8478013.0,,8476875.0,8480018.0,8481618.0,8476981.0,8482111.0,,Lucas Raymond,Moritz Seider,Dylan Larkin,Alex DeBrincat,Jake Walman,,Mike Matheson,Nick Suzuki,Alex Newhook,Josh Anderson,Justin Barron,,8473503.0,8480051.0,James Reimer,Cayden Primeau
1,00:55,19:05,right,faceoff,22,1,REG,69.0,-22.0,O,,,1.0,1.0,,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,55,31.0,MTL,0.0,8480018.0,8477946.0,,5,5,5v5,8482078.0,8481542.0,8477946.0,8479337.0,8478013.0,,8476875.0,8480018.0,8481618.0,8476981.0,8482111.0,,Lucas Raymond,Moritz Seider,Dylan Larkin,Alex DeBrincat,Jake Walman,,Mike Matheson,Nick Suzuki,Alex Newhook,Josh Anderson,Justin Barron,,8473503.0,8480051.0,James Reimer,Cayden Primeau
1,00:55,19:05,right,stoppage,21,1,REG,,,,,,1.0,1.0,icing,,,,,0.0,0.0,,2023020195,20232024,2023-11-09,2,Little Caesars Arena,55,,,,,,,5,5,5v5,8482078.0,8481542.0,8477946.0,8479337.0,8478013.0,,8476875.0,8480018.0,8481618.0,8476981.0,8482111.0,,Lucas Raymond,Moritz Seider,Dylan Larkin,Alex DeBrincat,Jake Walman,,Mike Matheson,Nick Suzuki,Alex Newhook,Josh Anderson,Justin Barron,,8473503.0,8480051.0,James Reimer,Cayden Primeau
