period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,periodDescriptor_number,periodType,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awaySOG,homeSOG,reason,secondaryReason,typeCode,descKey,duration,awayScore,homeScore,gameId,seasonId,gameDate,gameType,venue,elapsedTime,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName,normalized_xCoord,normalized_yCoord
1,00:00,20:00,left,period-start,9,1,REG,,,,,,0.0,0.0,,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,0,,,,,,5,5,5v5,8477335.0,8477407.0,8480188.0,8475798.0,8481537.0,8476875.0,8475848.0,8480018.0,8481618.0,8482111.0,Kyle Burroughs,Anthony Duclair,Fabian Zetterlund,Mikael Granlund,Nikita Okhotiuk,Mike Matheson,Brendan Gallagher,Nick Suzuki,Alex Newhook,Justin Barron,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,,
1,00:00,20:00,left,faceoff,11,1,REG,0.0,0.0,N,,,0.0,0.0,,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,0,MTL,0.0,8480018.0,8475798.0,,5,5,5v5,8477335.0,8477407.0,8480188.0,8475798.0,8481537.0,8476875.0,8475848.0,8480018.0,8481618.0,8482111.0,Kyle Burroughs,Anthony Duclair,Fabian Zetterlund,Mikael Granlund,Nikita Okhotiuk,Mike Matheson,Brendan Gallagher,Nick Suzuki,Alex Newhook,Justin Barron,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,-0.0,0.0
1,00:07,19:53,left,shot-on-goal,12,1,REG,24.0,-40.0,N,wrist,8480051.0,0.0,1.0,,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,7,SJS,1.0,8480188.0,,,5,5,5v5,8477335.0,8477407.0,8480188.0,8475798.0,8481537.0,8476875.0,8475848.0,8480018.0,8481618.0,8482111.0,Kyle Burroughs,Anthony Duclair,Fabian Zetterlund,Mikael Granlund,Nikita Okhotiuk,Mike Matheson,Brendan Gallagher,Nick Suzuki,Alex Newhook,Justin Barron,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,24.0,-40.0
1,00:27,19:33,left,giveaway,14,1,REG,59.0,-27.0,D,,,0.0,1.0,,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,27,MTL,0.0,8481618.0,,,5,5,5v5,8477335.0,8480834.0,8477407.0,8480188.0,8475798.0,8476875.0,8475848.0,8480018.0,8481618.0,8482111.0,Kyle Burroughs,Ty Emberson,Anthony Duclair,Fabian Zetterlund,Mikael Granlund,Mike Matheson,Brendan Gallagher,Nick Suzuki,Alex Newhook,Justin Barron,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,-59.0,27.0
1,00:29,19:31,left,shot-on-goal,15,1,REG,42.0,-7.0,O,wrist,8480051.0,0.0,2.0,,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,29,SJS,1.0,8477407.0,,,5,5,5v5,8477335.0,8480834.0,8477407.0,8480188.0,8475798.0,8476875.0,8475848.0,8480018.0,8481618.0,8482111.0,Kyle Burroughs,Ty Emberson,Anthony Duclair,Fabian Zetterlund,Mikael Granlund,Mike Matheson,Brendan Gallagher,Nick Suzuki,Alex Newhook,Justin Barron,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,42.0,-7.0
1,00:31,19:29,left,takeaway,17,1,REG,-17.0,-30.0,N,,,0.0,2.0,,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,31,SJS,1.0,8477407.0,,,5,5,5v5,8480834.0,8477407.0,8480188.0,8479983.0,8475798.0,8476875.0,8475848.0,8480018.0,8481618.0,8482111.0,Ty Emberson,Anthony Duclair,Fabian Zetterlund,Mario Ferraro,Mikael Granlund,Mike Matheson,Brendan Gallagher,Nick Suzuki,Alex Newhook,Justin Barron,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,-17.0,-30.0
1,00:38,19:22,left,hit,18,1,REG,6.0,39.0,N,,,0.0,2.0,,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,38,SJS,1.0,8479983.0,8475848.0,,5,5,5v5,8480834.0,8477407.0,8480188.0,8479983.0,8475798.0,8476875.0,8475848.0,8480018.0,8481618.0,8482111.0,Ty Emberson,Anthony Duclair,Fabian Zetterlund,Mario Ferraro,Mikael Granlund,Mike Matheson,Brendan Gallagher,Nick Suzuki,Alex Newhook,Justin Barron,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,6.0,39.0
1,01:35,18:25,left,faceoff,33,1,REG,-69.0,-22.0,O,,,0.0,2.0,,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,95,MTL,0.0,8483515.0,8481477.0,,5,5,5v5,8476988.0,8481477.0,8479316.0,8480884.0,8474884.0,8483515.0,8481540.0,8480192.0,8477989.0,8481593.0,Matt Benning,Nico Sturm,Luke Kunin,Calen Addison,Mike Hoffman,Juraj Slafkovsky,Cole Caufield,Johnathan Kovacevic,Christian Dvorak,Jayden Struble,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,69.0,22.0
1,01:35,18:25,left,stoppage,31,1,REG,,,,,,0.0,2.0,offside,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,95,,,,,,5,5,5v5,8476988.0,8481477.0,8479316.0,8480884.0,8474884.0,8483515.0,8481540.0,8480192.0,8477989.0,8481593.0,Matt Benning,Nico Sturm,Luke Kunin,Calen Addison,Mike Hoffman,Juraj Slafkovsky,Cole Caufield,Johnathan Kovacevic,Christian Dvorak,Jayden Struble,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,,
1,01:38,18:22,left,blocked-shot,34,1,REG,-32.0,-3.0,O,,,0.0,2.0,,,,,,0.0,0.0,2023020300,20232024,2023-11-24,2,SAP Center at San Jose,98,MTL,0.0,8481540.0,8477989.0,,5,5,5v5,8476988.0,8481477.0,8479316.0,8480884.0,8474884.0,8483515.0,8481540.0,8480192.0,8477989.0,8481593.0,Matt Benning,Nico Sturm,Luke Kunin,Calen Addison,Mike Hoffman,Juraj Slafkovsky,Cole Caufield,Johnathan Kovacevic,Christian Dvorak,Jayden Struble,8478406.0,8480051.0,Mackenzie Blackwood,Cayden Primeau,32.0,3.0
