period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awaySOG,homeSOG,reason,secondaryReason,typeCode,descKey,duration,awayScore,homeScore,servedByPlayerId,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,right,period-start,8,1,REG,,,,,,0.0,0.0,,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,0,,,,,,,5,5,5v5,8478136.0,8482122.0,8481557.0,8478493.0,8478864.0,8476981.0,8482087.0,8482111.0,8478133.0,8477497.0,Jake Middleton,Brock Faber,Matt Boldy,Joel Eriksson Ek,Kirill Kaprizov,Josh Anderson,Kaiden Guhle,Justin Barron,Jake Evans,Sean Monahan,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
1,00:00,20:00,right,faceoff,11,1,REG,0.0,0.0,N,,,0.0,0.0,,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,0,100.0,MIN,1.0,8478493.0,8477497.0,,5,5,5v5,8478136.0,8482122.0,8481557.0,8478493.0,8478864.0,8476981.0,8482087.0,8482111.0,8478133.0,8477497.0,Jake Middleton,Brock Faber,Matt Boldy,Joel Eriksson Ek,Kirill Kaprizov,Josh Anderson,Kaiden Guhle,Justin Barron,Jake Evans,Sean Monahan,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
1,00:41,19:19,right,blocked-shot,12,1,REG,-82.0,-8.0,D,,,0.0,0.0,,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,41,182.0,MTL,0.0,8478136.0,8482087.0,,5,5,5v5,8478136.0,8482122.0,8481557.0,8478493.0,8478864.0,8476981.0,8482087.0,8482111.0,8478133.0,8477497.0,Jake Middleton,Brock Faber,Matt Boldy,Joel Eriksson Ek,Kirill Kaprizov,Josh Anderson,Kaiden Guhle,Justin Barron,Jake Evans,Sean Monahan,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
1,01:01,18:59,right,blocked-shot,19,1,REG,78.0,0.0,D,,,0.0,0.0,,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,61,22.0,MIN,1.0,8476469.0,8471274.0,,5,5,5v5,8481557.0,8478493.0,8474567.0,8471274.0,8478864.0,8476875.0,8475848.0,8476469.0,8475233.0,8478133.0,Matt Boldy,Joel Eriksson Ek,Zach Bogosian,Alex Goligoski,Kirill Kaprizov,Mike Matheson,Brendan Gallagher,Joel Armia,David Savard,Jake Evans,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
1,01:27,18:33,right,hit,24,1,REG,98.0,17.0,D,,,0.0,0.0,,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,87,2.0,MIN,1.0,8471274.0,8475848.0,,5,5,5v5,8474034.0,8474567.0,8471274.0,8477919.0,8475149.0,8476875.0,8475848.0,8477989.0,8476469.0,8475233.0,Pat Maroon,Zach Bogosian,Alex Goligoski,Frederick Gaudreau,Marcus Johansson,Mike Matheson,Brendan Gallagher,Christian Dvorak,Joel Armia,David Savard,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
1,01:42,18:18,right,shot-on-goal,27,1,REG,-67.0,24.0,O,wrist,8478470.0,0.0,1.0,,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,102,167.0,MIN,1.0,8475149.0,,,5,5,5v5,8475750.0,8477541.0,8474034.0,8477919.0,8475149.0,8476875.0,8475848.0,8477989.0,8476469.0,8475233.0,Jon Merrill,Dakota Mermis,Pat Maroon,Frederick Gaudreau,Marcus Johansson,Mike Matheson,Brendan Gallagher,Christian Dvorak,Joel Armia,David Savard,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
1,01:44,18:16,right,stoppage,28,1,REG,,,,,,0.0,1.0,goalie-stopped-after-sog,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,104,,,,,,,5,5,5v5,8475750.0,8477541.0,8474034.0,8477919.0,8475149.0,8476875.0,8480018.0,8483515.0,8475233.0,8477497.0,Jon Merrill,Dakota Mermis,Pat Maroon,Frederick Gaudreau,Marcus Johansson,Mike Matheson,Nick Suzuki,Juraj Slafkovsky,David Savard,Sean Monahan,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
1,01:44,18:16,right,faceoff,30,1,REG,-69.0,22.0,O,,,0.0,1.0,,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,104,169.0,MIN,1.0,8477919.0,8477497.0,,5,5,5v5,8475750.0,8477541.0,8474034.0,8477919.0,8475149.0,8476875.0,8480018.0,8483515.0,8475233.0,8477497.0,Jon Merrill,Dakota Mermis,Pat Maroon,Frederick Gaudreau,Marcus Johansson,Mike Matheson,Nick Suzuki,Juraj Slafkovsky,David Savard,Sean Monahan,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
1,01:45,18:15,right,blocked-shot,31,1,REG,-69.0,13.0,D,,,0.0,1.0,,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,105,169.0,MTL,0.0,8475149.0,8480018.0,,5,5,5v5,8475750.0,8477541.0,8474034.0,8477919.0,8475149.0,8476875.0,8480018.0,8483515.0,8475233.0,8477497.0,Jon Merrill,Dakota Mermis,Pat Maroon,Frederick Gaudreau,Marcus Johansson,Mike Matheson,Nick Suzuki,Juraj Slafkovsky,David Savard,Sean Monahan,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
1,02:04,17:56,right,takeaway,34,1,REG,31.0,38.0,D,,,0.0,1.0,,,,,,0.0,0.0,,2023020506,20232024,2023-12-21,2,Xcel Energy Center,124,69.0,MIN,1.0,8475149.0,,,5,5,5v5,8475750.0,8477541.0,8474034.0,8477919.0,8475149.0,8480018.0,8483515.0,8481540.0,8480192.0,8481593.0,Jon Merrill,Dakota Mermis,Pat Maroon,Frederick Gaudreau,Marcus Johansson,Nick Suzuki,Juraj Slafkovsky,Cole Caufield,Johnathan Kovacevic,Jayden Struble,8479406.0,8478470.0,Filip Gustavsson,Sam Montembeault
