period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,periodDescriptor_number,periodType,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awaySOG,homeSOG,reason,awayScore,homeScore,typeCode,descKey,duration,secondaryReason,gameId,seasonId,gameDate,gameType,venue,elapsedTime,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName,normalized_xCoord,normalized_yCoord
1,00:00,20:00,right,period-start,8,1,REG,,,,,,0.0,0.0,,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,0,,,,,,5,5,5v5,8476875.0,8480018.0,8481540.0,8481093.0,8482111.0,8478460.0,8476346.0,8476432.0,8476923.0,8478458.0,Mike Matheson,Nick Suzuki,Cole Caufield,Rafael Harvey-Pinard,Justin Barron,Zach Werenski,Johnny Gaudreau,Boone Jenner,Damon Severson,Jack Roslovic,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,,
1,00:00,20:00,right,faceoff,11,1,REG,0.0,0.0,N,,,0.0,0.0,,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,0,CBJ,0.0,8476432.0,8480018.0,,5,5,5v5,8476875.0,8480018.0,8481540.0,8481093.0,8482111.0,8478460.0,8476346.0,8476432.0,8476923.0,8478458.0,Mike Matheson,Nick Suzuki,Cole Caufield,Rafael Harvey-Pinard,Justin Barron,Zach Werenski,Johnny Gaudreau,Boone Jenner,Damon Severson,Jack Roslovic,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,0.0,0.0
1,00:24,19:36,right,shot-on-goal,12,1,REG,-82.0,-19.0,O,wrist,8478007.0,0.0,1.0,,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,24,MTL,1.0,8481540.0,,,5,5,5v5,8476875.0,8480018.0,8481540.0,8481093.0,8482111.0,8478460.0,8476346.0,8476432.0,8476923.0,8478458.0,Mike Matheson,Nick Suzuki,Cole Caufield,Rafael Harvey-Pinard,Justin Barron,Zach Werenski,Johnny Gaudreau,Boone Jenner,Damon Severson,Jack Roslovic,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,82.0,19.0
1,00:26,19:34,right,stoppage,13,1,REG,,,,,,0.0,1.0,goalie-stopped-after-sog,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,26,,,,,,5,5,5v5,8476875.0,8481618.0,8476981.0,8483515.0,8482111.0,8478500.0,8484166.0,8480074.0,8480205.0,8483460.0,Mike Matheson,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Justin Barron,Ivan Provorov,Adam Fantilli,Alexandre Texier,Emil Bemstrom,David Jiricek,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,,
1,00:26,19:34,right,faceoff,16,1,REG,-69.0,-22.0,D,,,0.0,1.0,,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,26,CBJ,0.0,8484166.0,8481618.0,,5,5,5v5,8476875.0,8481618.0,8476981.0,8483515.0,8482111.0,8478500.0,8484166.0,8480074.0,8480205.0,8483460.0,Mike Matheson,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Justin Barron,Ivan Provorov,Adam Fantilli,Alexandre Texier,Emil Bemstrom,David Jiricek,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,-69.0,-22.0
1,00:40,19:20,right,giveaway,17,1,REG,-67.0,1.0,O,,,0.0,1.0,,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,40,MTL,1.0,8476875.0,,,5,5,5v5,8476875.0,8481618.0,8476981.0,8483515.0,8482111.0,8478500.0,8484166.0,8480074.0,8480205.0,8483460.0,Mike Matheson,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Justin Barron,Ivan Provorov,Adam Fantilli,Alexandre Texier,Emil Bemstrom,David Jiricek,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,67.0,-1.0
1,00:46,19:14,right,shot-on-goal,18,1,REG,62.0,-15.0,O,wrist,8478470.0,1.0,1.0,,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,46,CBJ,0.0,8480205.0,,,5,5,5v5,8476875.0,8481618.0,8476981.0,8483515.0,8482111.0,8478500.0,8484166.0,8480074.0,8480205.0,8483460.0,Mike Matheson,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Justin Barron,Ivan Provorov,Adam Fantilli,Alexandre Texier,Emil Bemstrom,David Jiricek,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,62.0,-15.0
1,00:48,19:12,right,stoppage,19,1,REG,,,,,,1.0,1.0,goalie-stopped-after-sog,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,48,,,,,,5,5,5v5,8475848.0,8480192.0,8480887.0,8476871.0,8477497.0,8482705.0,8478500.0,8479941.0,8483460.0,8480893.0,Brendan Gallagher,Johnathan Kovacevic,Jordan Harris,Tanner Pearson,Sean Monahan,Cole Sillinger,Ivan Provorov,Justin Danforth,David Jiricek,Kirill Marchenko,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,,
1,00:48,19:12,right,faceoff,22,1,REG,69.0,-22.0,D,,,1.0,1.0,,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,48,MTL,1.0,8477497.0,8479941.0,,5,5,5v5,8475848.0,8480192.0,8480887.0,8476871.0,8477497.0,8482705.0,8478500.0,8479941.0,8483460.0,8480893.0,Brendan Gallagher,Johnathan Kovacevic,Jordan Harris,Tanner Pearson,Sean Monahan,Cole Sillinger,Ivan Provorov,Justin Danforth,David Jiricek,Kirill Marchenko,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,-69.0,22.0
1,01:08,18:52,right,shot-on-goal,24,1,REG,-48.0,21.0,O,snap,8478007.0,1.0,2.0,,0.0,0.0,,,,,2023020103,20232024,2023-10-26,2,Centre Bell,68,MTL,1.0,8476871.0,,,5,5,5v5,8475848.0,8480192.0,8480887.0,8476871.0,8477497.0,8482705.0,8478500.0,8479941.0,8475790.0,8480893.0,Brendan Gallagher,Johnathan Kovacevic,Jordan Harris,Tanner Pearson,Sean Monahan,Cole Sillinger,Ivan Provorov,Justin Danforth,Erik Gudbranson,Kirill Marchenko,8478470.0,8478007.0,Sam Montembeault,Elvis Merzlikins,48.0,-21.0
