period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,periodDescriptor_number,periodType,xCoord,yCoord,zoneCode,reason,shotType,goalieInNetId,awaySOG,homeSOG,awayScore,homeScore,secondaryReason,typeCode,descKey,duration,gameId,seasonId,gameDate,gameType,venue,elapsedTime,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName,normalized_xCoord,normalized_yCoord
1,00:00,20:00,right,period-start,8,1,REG,,,,,,,0.0,0.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,0,,,,,,5,5,5v5,8473533.0,8477488.0,8482093.0,8476921.0,8476869.0,8476875.0,8476981.0,8475233.0,8478133.0,8477497.0,Jordan Staal,Brett Pesce,Seth Jarvis,Jordan Martinook,Brady Skjei,Mike Matheson,Josh Anderson,David Savard,Jake Evans,Sean Monahan,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,,
1,00:00,20:00,right,faceoff,11,1,REG,0.0,0.0,N,,,,0.0,0.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,0,MTL,0.0,8477497.0,8473533.0,,5,5,5v5,8473533.0,8477488.0,8482093.0,8476921.0,8476869.0,8476875.0,8476981.0,8475233.0,8478133.0,8477497.0,Jordan Staal,Brett Pesce,Seth Jarvis,Jordan Martinook,Brady Skjei,Mike Matheson,Josh Anderson,David Savard,Jake Evans,Sean Monahan,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,0.0,0.0
1,00:10,19:50,right,stoppage,12,1,REG,,,,icing,,,0.0,0.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,10,,,,,,5,5,5v5,8473533.0,8477488.0,8482093.0,8476921.0,8476869.0,8476875.0,8476981.0,8475233.0,8478133.0,8477497.0,Jordan Staal,Brett Pesce,Seth Jarvis,Jordan Martinook,Brady Skjei,Mike Matheson,Josh Anderson,David Savard,Jake Evans,Sean Monahan,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,,
1,00:10,19:50,right,faceoff,13,1,REG,-69.0,-22.0,O,,,,0.0,0.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,10,CAR,1.0,8473533.0,8478133.0,,5,5,5v5,8473533.0,8477488.0,8482093.0,8476921.0,8476869.0,8476875.0,8476981.0,8475233.0,8478133.0,8477497.0,Jordan Staal,Brett Pesce,Seth Jarvis,Jordan Martinook,Brady Skjei,Mike Matheson,Josh Anderson,David Savard,Jake Evans,Sean Monahan,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,69.0,22.0
1,00:27,19:33,right,hit,14,1,REG,-99.0,2.0,D,,,,0.0,0.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,27,MTL,0.0,8475233.0,8476921.0,,5,5,5v5,8473533.0,8477488.0,8482093.0,8476921.0,8476869.0,8476875.0,8476981.0,8475233.0,8478133.0,8477497.0,Jordan Staal,Brett Pesce,Seth Jarvis,Jordan Martinook,Brady Skjei,Mike Matheson,Josh Anderson,David Savard,Jake Evans,Sean Monahan,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,-99.0,2.0
1,00:28,19:32,right,hit,15,1,REG,-97.0,4.0,D,,,,0.0,0.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,28,MTL,0.0,8475233.0,8476921.0,,5,5,5v5,8473533.0,8477488.0,8482093.0,8476921.0,8476869.0,8476875.0,8476981.0,8475233.0,8478133.0,8477497.0,Jordan Staal,Brett Pesce,Seth Jarvis,Jordan Martinook,Brady Skjei,Mike Matheson,Josh Anderson,David Savard,Jake Evans,Sean Monahan,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,-97.0,4.0
1,01:03,18:57,right,shot-on-goal,25,1,REG,-61.0,-24.0,O,,wrist,8480051.0,0.0,1.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,63,CAR,1.0,8478427.0,,,5,5,5v5,8470613.0,8478427.0,8480830.0,8476958.0,8476882.0,8480018.0,8483515.0,8482087.0,8481540.0,8482111.0,Brent Burns,Sebastian Aho,Andrei Svechnikov,Jaccob Slavin,Teuvo Teravainen,Nick Suzuki,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Justin Barron,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,61.0,24.0
1,01:05,18:55,right,stoppage,26,1,REG,,,,goalie-stopped-after-sog,,,0.0,1.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,65,,,,,,5,5,5v5,8470613.0,8478427.0,8480830.0,8476958.0,8476882.0,8480018.0,8483515.0,8482087.0,8481540.0,8482111.0,Brent Burns,Sebastian Aho,Andrei Svechnikov,Jaccob Slavin,Teuvo Teravainen,Nick Suzuki,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Justin Barron,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,,
1,01:05,18:55,right,faceoff,27,1,REG,-69.0,-22.0,D,,,,0.0,1.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,65,MTL,0.0,8480018.0,8476882.0,,5,5,5v5,8470613.0,8478427.0,8480830.0,8476958.0,8476882.0,8480018.0,8483515.0,8482087.0,8481540.0,8482111.0,Brent Burns,Sebastian Aho,Andrei Svechnikov,Jaccob Slavin,Teuvo Teravainen,Nick Suzuki,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Justin Barron,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,-69.0,-22.0
1,01:18,18:42,right,missed-shot,28,1,REG,70.0,12.0,O,wide-right,snap,8477293.0,0.0,1.0,0.0,0.0,,,,,2023020542,20232024,2023-12-28,2,PNC Arena,78,MTL,0.0,8483515.0,,,5,5,5v5,8470613.0,8478427.0,8480830.0,8476958.0,8476882.0,8480018.0,8483515.0,8482087.0,8481540.0,8482111.0,Brent Burns,Sebastian Aho,Andrei Svechnikov,Jaccob Slavin,Teuvo Teravainen,Nick Suzuki,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Justin Barron,8477293.0,8480051.0,Antti Raanta,Cayden Primeau,70.0,12.0
