teamId,sweaterNumber,positionCode,headshot,firstName.cs,firstName.de,firstName.es,firstName.fi,firstName.sk,firstName.sv,lastName.cs,lastName.sk,fullName,gameId,gameDate,is_home
18,27,D,https://assets.nhle.com/mugs/nhl/20232024/NSH/8474151.png,,,,,,,,,Ryan McDonagh,2023020423,2023-12-10,0
8,34,G,https://assets.nhle.com/mugs/nhl/20232024/MTL/8474596.png,,,,,,,,,Jake Allen,2023020423,2023-12-10,1
18,59,D,https://assets.nhle.com/mugs/nhl/20232024/NSH/8474600.png,,,,,,,,,Roman Josi,2023020423,2023-12-10,0
18,14,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8474679.png,,,,,,,,,Gustav Nyquist,2023020423,2023-12-10,0
18,90,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8475158.png,,,,,,,,,Ryan O'Reilly,2023020423,2023-12-10,0
18,22,D,https://assets.nhle.com/mugs/nhl/20232024/NSH/8475197.png,,,,,,,,,Tyson Barrie,2023020423,2023-12-10,0
8,58,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8475233.png,,,,,,,,,David Savard,2023020423,2023-12-10,1
8,11,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8475848.png,,,,,,,,,Brendan Gallagher,2023020423,2023-12-10,1
8,40,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476469.png,,,,,,,,,Joel Armia,2023020423,2023-12-10,1
8,8,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476875.png,,,,,,,,,Mike Matheson,2023020423,2023-12-10,1
18,9,L,https://assets.nhle.com/mugs/nhl/20232024/NSH/8476887.png,,,,,,,,,Filip Forsberg,2023020423,2023-12-10,0
18,10,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8476925.png,,,,,,,,,Colton Sissons,2023020423,2023-12-10,0
8,17,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476981.png,,,,,,,,,Josh Anderson,2023020423,2023-12-10,1
18,74,G,https://assets.nhle.com/mugs/nhl/20232024/NSH/8477424.png,,,,,,,,,Juuse Saros,2023020423,2023-12-10,0
18,47,R,https://assets.nhle.com/mugs/nhl/20232024/NSH/8477446.png,,,,,,,,,Michael McCarron,2023020423,2023-12-10,0
8,91,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8477497.png,,,,,,,,,Sean Monahan,2023020423,2023-12-10,1
8,28,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8477989.png,,,,,,,,,Christian Dvorak,2023020423,2023-12-10,1
8,71,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8478133.png,,,,,,,,,Jake Evans,2023020423,2023-12-10,1
18,82,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8478438.png,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,,,Tommy Novak,2023020423,2023-12-10,0
18,3,D,https://assets.nhle.com/mugs/nhl/20232024/NSH/8478468.png,,,,,,,,,Jeremy Lauzon,2023020423,2023-12-10,0
8,35,G,https://assets.nhle.com/mugs/nhl/20232024/MTL/8478470.png,,,,,,,,,Sam Montembeault,2023020423,2023-12-10,1
8,13,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8478477.png,,,,,,,,,Mitchell Stephens,2023020423,2023-12-10,1
18,13,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8478508.png,Jakov,,,,Jakov,,,,Yakov Trenin,2023020423,2023-12-10,0
18,45,D,https://assets.nhle.com/mugs/nhl/20232024/NSH/8478851.png,,,,,,,,,Alexandre Carrier,2023020423,2023-12-10,0
18,57,D,https://assets.nhle.com/mugs/nhl/20232024/NSH/8479371.png,,,,,,,,,Dante Fabbro,2023020423,2023-12-10,0
8,55,L,https://assets.nhle.com/mugs/nhl/20232024/MTL/8479543.png,,,,,,,,,Michael Pezzetta,2023020423,2023-12-10,1
8,14,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8480018.png,,,,,,,,,Nick Suzuki,2023020423,2023-12-10,1
8,26,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8480192.png,,,,,,,,,Johnathan Kovacevic,2023020423,2023-12-10,1
18,44,L,https://assets.nhle.com/mugs/nhl/20232024/NSH/8480748.png,,,,,,,,,Kiefer Sherwood,2023020423,2023-12-10,0
18,32,G,https://assets.nhle.com/mugs/nhl/20232024/NSH/8480947.png,,,,,,,,,Kevin Lankinen,2023020423,2023-12-10,0
8,56,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8481058.png,,,,,,,,,Jesse Ylönen,2023020423,2023-12-10,1
8,22,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8481540.png,,,,,,,,,Cole Caufield,2023020423,2023-12-10,1
18,26,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8481577.png,,,,,,,,,Philip Tomasino,2023020423,2023-12-10,0
8,47,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8481593.png,,,,,,,,,Jayden Struble,2023020423,2023-12-10,1
18,75,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8481704.png,,,,,,,,,Juuso Parssinen,2023020423,2023-12-10,0
18,36,L,https://assets.nhle.com/mugs/nhl/20232024/NSH/8482062.png,,,,,,,,,Cole Smith,2023020423,2023-12-10,0
8,21,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8482087.png,,,,,,,,,Kaiden Guhle,2023020423,2023-12-10,1
8,52,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8482111.png,,,,,,,,,Justin Barron,2023020423,2023-12-10,1
18,77,R,https://assets.nhle.com/mugs/nhl/20232024/NSH/8482146.png,,,,,,,,,Luke Evangelista,2023020423,2023-12-10,0
8,20,L,https://assets.nhle.com/mugs/nhl/20232024/MTL/8483515.png,,,,,,,Slafkovský,Slafkovský,Juraj Slafkovsky,2023020423,2023-12-10,1
