shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:52,3,1,0:45,1:37,52,45,97,2023020138,2023-10-30,8475188,D
2,1,01:09,3,1,3:29,4:38,69,209,278,2023020138,2023-10-30,8475188,D
3,1,00:26,3,1,5:51,6:17,26,351,377,2023020138,2023-10-30,8475188,D
4,1,00:49,3,1,8:37,9:26,49,517,566,2023020138,2023-10-30,8475188,D
5,1,01:12,3,1,11:11,12:23,72,671,743,2023020138,2023-10-30,8475188,D
6,1,00:45,3,1,17:13,17:58,45,1033,1078,2023020138,2023-10-30,8475188,D
7,1,00:23,3,1,18:54,19:17,23,1134,1157,2023020138,2023-10-30,8475188,D
8,2,01:18,3,1,2:54,4:12,78,1374,1452,2023020138,2023-10-30,8475188,D
9,2,01:51,3,1,6:51,8:42,111,1611,1722,2023020138,2023-10-30,8475188,D
10,2,00:38,3,1,9:33,10:11,38,1773,1811,2023020138,2023-10-30,8475188,D
11,2,01:15,3,1,12:53,14:08,75,1973,2048,2023020138,2023-10-30,8475188,D
12,2,00:50,3,1,15:15,16:05,50,2115,2165,2023020138,2023-10-30,8475188,D
13,2,00:49,3,1,19:11,20:00,49,2351,2400,2023020138,2023-10-30,8475188,D
14,3,00:54,3,1,0:34,1:28,54,2434,2488,2023020138,2023-10-30,8475188,D
15,3,00:44,3,1,3:05,3:49,44,2585,2629,2023020138,2023-10-30,8475188,D
16,3,00:34,3,1,5:09,5:43,34,2709,2743,2023020138,2023-10-30,8475188,D
17,3,01:05,3,1,6:16,7:21,65,2776,2841,2023020138,2023-10-30,8475188,D
18,3,01:19,3,1,9:09,10:28,79,2949,3028,2023020138,2023-10-30,8475188,D
19,3,00:38,3,1,11:10,11:48,38,3070,3108,2023020138,2023-10-30,8475188,D
20,3,01:37,3,1,12:11,13:48,97,3131,3228,2023020138,2023-10-30,8475188,D
21,3,00:27,3,1,14:38,15:05,27,3278,3305,2023020138,2023-10-30,8475188,D
22,3,00:52,3,1,15:42,16:34,52,3342,3394,2023020138,2023-10-30,8475188,D
23,3,00:47,3,1,17:37,18:24,47,3457,3504,2023020138,2023-10-30,8475188,D
24,3,00:13,3,1,19:38,19:51,13,3578,3591,2023020138,2023-10-30,8475188,D
1,1,01:07,6,1,1:37,2:44,67,97,164,2023020138,2023-10-30,8481527,D
2,1,01:08,6,1,6:36,7:44,68,396,464,2023020138,2023-10-30,8481527,D
3,1,00:44,6,1,9:26,10:10,44,566,610,2023020138,2023-10-30,8481527,D
4,1,00:49,6,1,12:23,13:12,49,743,792,2023020138,2023-10-30,8481527,D
5,1,01:02,6,1,16:11,17:13,62,971,1033,2023020138,2023-10-30,8481527,D
6,1,00:16,6,1,18:38,18:54,16,1118,1134,2023020138,2023-10-30,8481527,D
7,2,00:35,6,1,4:12,4:47,35,1452,1487,2023020138,2023-10-30,8481527,D
8,2,01:20,6,1,11:33,12:53,80,1893,1973,2023020138,2023-10-30,8481527,D
9,2,00:14,6,1,14:08,14:22,14,2048,2062,2023020138,2023-10-30,8481527,D
10,2,02:05,6,1,16:05,18:10,125,2165,2290,2023020138,2023-10-30,8481527,D
11,3,00:58,6,1,1:28,2:26,58,2488,2546,2023020138,2023-10-30,8481527,D
12,3,00:09,6,1,5:00,5:09,9,2700,2709,2023020138,2023-10-30,8481527,D
13,3,00:22,6,1,7:09,7:31,22,2829,2851,2023020138,2023-10-30,8481527,D
14,3,00:42,6,1,10:28,11:10,42,3028,3070,2023020138,2023-10-30,8481527,D
1,1,00:45,7,1,0:00,0:45,45,0,45,2023020138,2023-10-30,8474565,D
2,1,00:45,7,1,5:51,6:36,45,351,396,2023020138,2023-10-30,8474565,D
3,1,00:53,7,1,7:44,8:37,53,464,517,2023020138,2023-10-30,8474565,D
4,1,01:01,7,1,10:10,11:11,61,610,671,2023020138,2023-10-30,8474565,D
5,1,00:30,7,1,13:12,13:42,30,792,822,2023020138,2023-10-30,8474565,D
6,1,01:17,7,1,14:52,16:09,77,892,969,2023020138,2023-10-30,8474565,D
7,1,00:40,7,1,17:58,18:38,40,1078,1118,2023020138,2023-10-30,8474565,D
8,1,00:43,7,1,19:17,20:00,43,1157,1200,2023020138,2023-10-30,8474565,D
9,2,00:43,7,1,0:00,0:43,43,1200,1243,2023020138,2023-10-30,8474565,D
10,2,01:00,7,1,1:54,2:54,60,1314,1374,2023020138,2023-10-30,8474565,D
11,2,01:43,7,1,5:38,7:21,103,1538,1641,2023020138,2023-10-30,8474565,D
12,2,00:39,7,1,8:03,8:42,39,1683,1722,2023020138,2023-10-30,8474565,D
13,2,00:59,7,1,9:32,10:31,59,1772,1831,2023020138,2023-10-30,8474565,D
14,2,01:15,7,1,12:53,14:08,75,1973,2048,2023020138,2023-10-30,8474565,D
15,2,00:53,7,1,14:22,15:15,53,2062,2115,2023020138,2023-10-30,8474565,D
16,2,01:01,7,1,18:10,19:11,61,2290,2351,2023020138,2023-10-30,8474565,D
17,3,00:37,7,1,0:00,0:37,37,2400,2437,2023020138,2023-10-30,8474565,D
18,3,00:39,7,1,2:26,3:05,39,2546,2585,2023020138,2023-10-30,8474565,D
19,3,01:07,7,1,3:50,4:57,67,2630,2697,2023020138,2023-10-30,8474565,D
20,3,00:34,7,1,5:09,5:43,34,2709,2743,2023020138,2023-10-30,8474565,D
21,3,01:02,7,1,6:17,7:19,62,2777,2839,2023020138,2023-10-30,8474565,D
22,3,00:45,7,1,8:25,9:10,45,2905,2950,2023020138,2023-10-30,8474565,D
23,3,01:59,7,1,11:49,13:48,119,3109,3228,2023020138,2023-10-30,8474565,D
24,3,00:37,7,1,15:05,15:42,37,3305,3342,2023020138,2023-10-30,8474565,D
25,3,01:03,7,1,16:34,17:37,63,3394,3457,2023020138,2023-10-30,8474565,D
26,3,01:14,7,1,18:24,19:38,74,3504,3578,2023020138,2023-10-30,8474565,D
27,3,00:09,7,1,19:51,20:00,9,3591,3600,2023020138,2023-10-30,8474565,D
28,4,01:15,7,1,0:51,2:06,75,3651,3726,2023020138,2023-10-30,8474565,D
29,4,01:02,7,1,3:03,4:05,62,3783,3845,2023020138,2023-10-30,8474565,D
1,1,00:53,9,1,0:43,1:36,53,43,96,2023020138,2023-10-30,8478403,C
2,1,01:18,9,1,4:39,5:57,78,279,357,2023020138,2023-10-30,8478403,C
3,1,00:49,9,1,8:37,9:26,49,517,566,2023020138,2023-10-30,8478403,C
4,1,00:55,9,1,11:51,12:46,55,711,766,2023020138,2023-10-30,8478403,C
5,1,01:10,9,1,13:42,14:52,70,822,892,2023020138,2023-10-30,8478403,C
6,1,00:53,9,1,16:08,17:01,53,968,1021,2023020138,2023-10-30,8478403,C
7,1,00:10,9,1,18:54,19:04,10,1134,1144,2023020138,2023-10-30,8478403,C
8,2,01:21,9,1,0:26,1:47,81,1226,1307,2023020138,2023-10-30,8478403,C
9,2,00:54,9,1,4:44,5:38,54,1484,1538,2023020138,2023-10-30,8478403,C
10,2,00:39,9,1,8:03,8:42,39,1683,1722,2023020138,2023-10-30,8478403,C
11,2,00:51,9,1,9:39,10:30,51,1779,1830,2023020138,2023-10-30,8478403,C
12,2,00:47,9,1,10:57,11:44,47,1857,1904,2023020138,2023-10-30,8478403,C
13,2,00:32,9,1,12:53,13:25,32,1973,2005,2023020138,2023-10-30,8478403,C
14,2,00:41,9,1,15:24,16:05,41,2124,2165,2023020138,2023-10-30,8478403,C
15,2,00:20,9,1,17:50,18:10,20,2270,2290,2023020138,2023-10-30,8478403,C
16,2,00:49,9,1,19:11,20:00,49,2351,2400,2023020138,2023-10-30,8478403,C
17,3,01:03,9,1,0:40,1:43,63,2440,2503,2023020138,2023-10-30,8478403,C
18,3,00:46,9,1,4:57,5:43,46,2697,2743,2023020138,2023-10-30,8478403,C
19,3,00:11,9,1,7:31,7:42,11,2851,2862,2023020138,2023-10-30,8478403,C
20,3,00:43,9,1,8:26,9:09,43,2906,2949,2023020138,2023-10-30,8478403,C
21,3,00:12,9,1,11:59,12:11,12,3119,3131,2023020138,2023-10-30,8478403,C
22,3,00:54,9,1,14:11,15:05,54,3251,3305,2023020138,2023-10-30,8478403,C
23,3,00:56,9,1,16:34,17:30,56,3394,3450,2023020138,2023-10-30,8478403,C
24,3,00:06,9,1,19:51,19:57,6,3591,3597,2023020138,2023-10-30,8478403,C
25,4,00:51,9,1,0:00,0:51,51,3600,3651,2023020138,2023-10-30,8478403,C
26,4,00:25,9,1,1:43,2:08,25,3703,3728,2023020138,2023-10-30,8478403,C
27,4,00:34,9,1,4:00,4:34,34,3840,3874,2023020138,2023-10-30,8478403,C
1,1,01:52,14,1,1:37,3:29,112,97,209,2023020138,2023-10-30,8479980,D
2,1,01:28,14,1,6:17,7:45,88,377,465,2023020138,2023-10-30,8479980,D
3,1,00:44,14,1,9:26,10:10,44,566,610,2023020138,2023-10-30,8479980,D
4,1,00:51,14,1,12:23,13:14,51,743,794,2023020138,2023-10-30,8479980,D
5,1,01:08,14,1,16:09,17:17,68,969,1037,2023020138,2023-10-30,8479980,D
6,1,00:16,14,1,18:38,18:54,16,1118,1134,2023020138,2023-10-30,8479980,D
7,2,00:34,14,1,4:13,4:47,34,1453,1487,2023020138,2023-10-30,8479980,D
8,2,00:50,14,1,8:42,9:32,50,1722,1772,2023020138,2023-10-30,8479980,D
9,2,01:20,14,1,11:33,12:53,80,1893,1973,2023020138,2023-10-30,8479980,D
10,2,00:12,14,1,14:53,15:05,12,2093,2105,2023020138,2023-10-30,8479980,D
11,2,02:05,14,1,16:05,18:10,125,2165,2290,2023020138,2023-10-30,8479980,D
12,3,00:44,14,1,1:28,2:12,44,2488,2532,2023020138,2023-10-30,8479980,D
13,3,00:13,14,1,4:56,5:09,13,2696,2709,2023020138,2023-10-30,8479980,D
14,3,00:33,14,1,5:43,6:16,33,2743,2776,2023020138,2023-10-30,8479980,D
15,3,01:05,14,1,7:20,8:25,65,2840,2905,2023020138,2023-10-30,8479980,D
16,3,00:44,14,1,10:26,11:10,44,3026,3070,2023020138,2023-10-30,8479980,D
17,3,00:50,14,1,13:48,14:38,50,3228,3278,2023020138,2023-10-30,8479980,D
18,3,01:09,14,1,16:34,17:43,69,3394,3463,2023020138,2023-10-30,8479980,D
1,1,00:58,16,1,1:47,2:45,58,107,165,2023020138,2023-10-30,8481604,L
2,1,00:44,16,1,5:52,6:36,44,352,396,2023020138,2023-10-30,8481604,L
3,1,00:55,16,1,9:26,10:21,55,566,621,2023020138,2023-10-30,8481604,L
4,1,00:47,16,1,12:55,13:42,47,775,822,2023020138,2023-10-30,8481604,L
5,1,00:30,16,1,14:36,15:06,30,876,906,2023020138,2023-10-30,8481604,L
6,1,00:59,16,1,17:37,18:36,59,1057,1116,2023020138,2023-10-30,8481604,L
7,2,00:43,16,1,1:44,2:27,43,1304,1347,2023020138,2023-10-30,8481604,L
8,2,01:45,16,1,5:35,7:20,105,1535,1640,2023020138,2023-10-30,8481604,L
9,2,00:12,16,1,7:51,8:03,12,1671,1683,2023020138,2023-10-30,8481604,L
10,2,00:41,16,1,11:44,12:25,41,1904,1945,2023020138,2023-10-30,8481604,L
11,2,01:18,16,1,16:22,17:40,78,2182,2260,2023020138,2023-10-30,8481604,L
12,3,01:07,16,1,2:35,3:42,67,2555,2622,2023020138,2023-10-30,8481604,L
13,3,00:43,16,1,7:42,8:25,43,2862,2905,2023020138,2023-10-30,8481604,L
14,3,00:50,16,1,11:08,11:58,50,3068,3118,2023020138,2023-10-30,8481604,L
15,3,00:55,16,1,17:28,18:23,55,3448,3503,2023020138,2023-10-30,8481604,L
1,1,00:43,20,1,0:00,0:43,43,0,43,2023020138,2023-10-30,8476905,C
2,1,01:06,20,1,3:33,4:39,66,213,279,2023020138,2023-10-30,8476905,C
3,1,01:01,20,1,7:36,8:37,61,456,517,2023020138,2023-10-30,8476905,C
4,1,00:49,20,1,11:02,11:51,49,662,711,2023020138,2023-10-30,8476905,C
5,1,01:10,20,1,13:42,14:52,70,822,892,2023020138,2023-10-30,8476905,C
6,1,00:36,20,1,17:01,17:37,36,1021,1057,2023020138,2023-10-30,8476905,C
7,1,00:56,20,1,19:04,20:00,56,1144,1200,2023020138,2023-10-30,8476905,C
8,2,01:32,20,1,0:00,1:32,92,1200,1292,2023020138,2023-10-30,8476905,C
9,2,01:31,20,1,4:07,5:38,91,1447,1538,2023020138,2023-10-30,8476905,C
10,2,00:26,20,1,8:42,9:08,26,1722,1748,2023020138,2023-10-30,8476905,C
11,2,00:44,20,1,10:13,10:57,44,1813,1857,2023020138,2023-10-30,8476905,C
12,2,00:09,20,1,12:44,12:53,9,1964,1973,2023020138,2023-10-30,8476905,C
13,2,00:44,20,1,13:24,14:08,44,2004,2048,2023020138,2023-10-30,8476905,C
14,2,01:16,20,1,17:55,19:11,76,2275,2351,2023020138,2023-10-30,8476905,C
15,3,00:47,20,1,1:43,2:30,47,2503,2550,2023020138,2023-10-30,8476905,C
16,3,00:34,20,1,5:43,6:17,34,2743,2777,2023020138,2023-10-30,8476905,C
17,3,01:12,20,1,9:10,10:22,72,2950,3022,2023020138,2023-10-30,8476905,C
18,3,00:38,20,1,12:11,12:49,38,3131,3169,2023020138,2023-10-30,8476905,C
19,3,00:17,20,1,13:48,14:05,17,3228,3245,2023020138,2023-10-30,8476905,C
20,3,00:52,20,1,15:42,16:34,52,3342,3394,2023020138,2023-10-30,8476905,C
21,3,00:22,20,1,19:38,20:00,22,3578,3600,2023020138,2023-10-30,8476905,C
22,4,00:52,20,1,0:50,1:42,52,3650,3702,2023020138,2023-10-30,8476905,C
23,4,01:11,20,1,2:49,4:00,71,3769,3840,2023020138,2023-10-30,8476905,C
24,4,00:26,20,1,4:34,5:00,26,3874,3900,2023020138,2023-10-30,8476905,C
1,1,00:43,21,1,2:50,3:33,43,170,213,2023020138,2023-10-30,8479353,C
2,1,01:00,21,1,6:36,7:36,60,396,456,2023020138,2023-10-30,8479353,C
3,1,00:53,21,1,10:09,11:02,53,609,662,2023020138,2023-10-30,8479353,C
4,1,00:04,21,1,13:38,13:42,4,818,822,2023020138,2023-10-30,8479353,C
5,1,01:03,21,1,15:06,16:09,63,906,969,2023020138,2023-10-30,8479353,C
6,1,00:17,21,1,18:37,18:54,17,1117,1134,2023020138,2023-10-30,8479353,C
7,2,01:11,21,1,2:54,4:05,71,1374,1445,2023020138,2023-10-30,8479353,C
8,2,00:42,21,1,7:21,8:03,42,1641,1683,2023020138,2023-10-30,8479353,C
9,2,00:42,21,1,10:03,10:45,42,1803,1845,2023020138,2023-10-30,8479353,C
10,2,00:17,21,1,16:05,16:22,17,2165,2182,2023020138,2023-10-30,8479353,C
11,3,00:40,21,1,0:00,0:40,40,2400,2440,2023020138,2023-10-30,8479353,C
12,3,01:15,21,1,3:41,4:56,75,2621,2696,2023020138,2023-10-30,8479353,C
13,3,01:09,21,1,6:17,7:26,69,2777,2846,2023020138,2023-10-30,8479353,C
14,3,00:40,21,1,10:21,11:01,40,3021,3061,2023020138,2023-10-30,8479353,C
15,3,00:59,21,1,12:49,13:48,59,3169,3228,2023020138,2023-10-30,8479353,C
16,3,01:08,21,1,18:30,19:38,68,3510,3578,2023020138,2023-10-30,8479353,C
1,1,00:45,22,1,1:57,2:42,45,117,162,2023020138,2023-10-30,8478020,R
2,1,00:39,22,1,5:57,6:36,39,357,396,2023020138,2023-10-30,8478020,R
3,1,00:56,22,1,9:26,10:22,56,566,622,2023020138,2023-10-30,8478020,R
4,1,00:56,22,1,12:46,13:42,56,766,822,2023020138,2023-10-30,8478020,R
5,1,01:04,22,1,17:37,18:41,64,1057,1121,2023020138,2023-10-30,8478020,R
6,2,00:05,22,1,7:58,8:03,5,1678,1683,2023020138,2023-10-30,8478020,R
7,2,00:17,22,1,16:05,16:22,17,2165,2182,2023020138,2023-10-30,8478020,R
8,3,00:55,22,1,2:44,3:39,55,2564,2619,2023020138,2023-10-30,8478020,R
9,3,00:58,22,1,7:42,8:40,58,2862,2920,2023020138,2023-10-30,8478020,R
10,3,00:50,22,1,11:10,12:00,50,3070,3120,2023020138,2023-10-30,8478020,R
11,3,01:06,22,1,17:30,18:36,66,3450,3516,2023020138,2023-10-30,8478020,R
1,1,00:45,23,1,0:00,0:45,45,0,45,2023020138,2023-10-30,8474166,D
2,1,00:49,23,1,2:44,3:33,49,164,213,2023020138,2023-10-30,8474166,D
3,1,01:14,23,1,4:38,5:52,74,278,352,2023020138,2023-10-30,8474166,D
4,1,00:52,23,1,7:45,8:37,52,465,517,2023020138,2023-10-30,8474166,D
5,1,01:08,23,1,10:10,11:18,68,610,678,2023020138,2023-10-30,8474166,D
6,1,00:28,23,1,13:14,13:42,28,794,822,2023020138,2023-10-30,8474166,D
7,1,01:05,23,1,15:06,16:11,65,906,971,2023020138,2023-10-30,8474166,D
8,1,00:40,23,1,17:58,18:38,40,1078,1118,2023020138,2023-10-30,8474166,D
9,2,00:43,23,1,0:00,0:43,43,1200,1243,2023020138,2023-10-30,8474166,D
10,2,00:27,23,1,2:27,2:54,27,1347,1374,2023020138,2023-10-30,8474166,D
11,2,00:51,23,1,8:42,9:33,51,1722,1773,2023020138,2023-10-30,8474166,D
12,2,01:02,23,1,10:31,11:33,62,1831,1893,2023020138,2023-10-30,8474166,D
13,2,00:58,23,1,14:08,15:06,58,2048,2106,2023020138,2023-10-30,8474166,D
14,2,01:01,23,1,18:10,19:11,61,2290,2351,2023020138,2023-10-30,8474166,D
15,3,00:34,23,1,0:00,0:34,34,2400,2434,2023020138,2023-10-30,8474166,D
16,3,00:53,23,1,2:12,3:05,53,2532,2585,2023020138,2023-10-30,8474166,D
17,3,01:11,23,1,3:49,5:00,71,2629,2700,2023020138,2023-10-30,8474166,D
18,3,00:34,23,1,5:43,6:17,34,2743,2777,2023020138,2023-10-30,8474166,D
19,3,01:09,23,1,8:18,9:27,69,2898,2967,2023020138,2023-10-30,8474166,D
20,3,00:23,23,1,11:48,12:11,23,3108,3131,2023020138,2023-10-30,8474166,D
21,3,00:51,23,1,13:48,14:39,51,3228,3279,2023020138,2023-10-30,8474166,D
22,3,00:37,23,1,15:05,15:42,37,3305,3342,2023020138,2023-10-30,8474166,D
23,3,01:16,23,1,18:23,19:39,76,3503,3579,2023020138,2023-10-30,8474166,D
1,1,00:52,27,1,0:45,1:37,52,45,97,2023020138,2023-10-30,8477447,D
