Player,Odds,Implied Probability,Implied Probability (%),generated,operator
Anton Silayev,125,0.4444444444444444,44.44444444444444,2024-06-25 22:16:31.889982,draftkings
Artyom Levshunov,260,0.2777777777777778,27.77777777777778,2024-06-25 22:16:31.889982,draftkings
Ivan Demidov,450,0.18181818181818182,18.181818181818183,2024-06-25 22:16:31.889982,draftkings
Cayden Lindstrom,1000,0.09090909090909091,9.090909090909092,2024-06-25 22:16:31.889982,draftkings
Beckett Sennecke,1400,0.06666666666666667,6.666666666666667,2024-06-25 22:16:31.889982,draftkings
Zeev Buium,2000,0.047619047619047616,4.761904761904762,2024-06-25 22:16:31.889982,draftkings
Sam Dickinson,2000,0.047619047619047616,4.761904761904762,2024-06-25 22:16:31.889982,draftkings
Carter Yakemchuk,3000,0.03225806451612903,3.225806451612903,2024-06-25 22:16:31.889982,draftkings
Zayne Parekh,7500,0.013157894736842105,1.3157894736842104,2024-06-25 22:16:31.889982,draftkings
Berkly Catton,10000,0.009900990099009901,0.9900990099009901,2024-06-25 22:16:31.889982,draftkings
