Player,Odds,Implied Probability,Implied Probability (%),generated,operator
Cayden Lindstrom,-180,0.6428571428571429,64.28571428571429,2024-06-23 20:58:17.122559,draftkings
Ivan Demidov,320,0.23809523809523808,23.809523809523807,2024-06-23 20:58:17.122559,draftkings
Beckett Sennecke,550,0.15384615384615385,15.384615384615385,2024-06-23 20:58:17.122559,draftkings
Anton Silayev,1000,0.09090909090909091,9.090909090909092,2024-06-23 20:58:17.122559,draftkings
Sam Dickinson,2000,0.047619047619047616,4.761904761904762,2024-06-23 20:58:17.122559,draftkings
Zeev Buium,3000,0.03225806451612903,3.225806451612903,2024-06-23 20:58:17.122559,draftkings
Carter Yakemchuk,5000,0.0196078431372549,1.9607843137254901,2024-06-23 20:58:17.122559,draftkings
Zayne Parekh,7500,0.013157894736842105,1.3157894736842104,2024-06-23 20:58:17.122559,draftkings
Konsta Helenius,10000,0.009900990099009901,0.9900990099009901,2024-06-23 20:58:17.122559,draftkings
Berkly Catton,10000,0.009900990099009901,0.9900990099009901,2024-06-23 20:58:17.122559,draftkings
