shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:20,5,1,0:45,1:05,20,45,65,2020020001,2021-01-13,8479026,D
2,1,01:15,5,1,2:51,4:06,75,171,246,2020020001,2021-01-13,8479026,D
3,1,00:32,5,1,5:12,5:44,32,312,344,2020020001,2021-01-13,8479026,D
4,1,00:38,5,1,6:42,7:20,38,402,440,2020020001,2021-01-13,8479026,D
5,1,00:45,5,1,9:13,9:58,45,553,598,2020020001,2021-01-13,8479026,D
6,1,00:16,5,1,11:05,11:21,16,665,681,2020020001,2021-01-13,8479026,D
7,1,00:24,5,1,13:06,13:30,24,786,810,2020020001,2021-01-13,8479026,D
8,1,00:31,5,1,15:11,15:42,31,911,942,2020020001,2021-01-13,8479026,D
9,1,00:45,5,1,16:25,17:10,45,985,1030,2020020001,2021-01-13,8479026,D
10,1,00:35,5,1,18:37,19:12,35,1117,1152,2020020001,2021-01-13,8479026,D
11,2,00:48,5,1,0:23,1:11,48,1223,1271,2020020001,2021-01-13,8479026,D
12,2,00:45,5,1,2:31,3:16,45,1351,1396,2020020001,2021-01-13,8479026,D
13,2,01:47,5,1,5:17,7:04,107,1517,1624,2020020001,2021-01-13,8479026,D
14,2,00:44,5,1,8:42,9:26,44,1722,1766,2020020001,2021-01-13,8479026,D
15,2,00:51,5,1,10:02,10:53,51,1802,1853,2020020001,2021-01-13,8479026,D
16,2,01:00,5,1,13:27,14:27,60,2007,2067,2020020001,2021-01-13,8479026,D
17,2,00:29,5,1,14:46,15:15,29,2086,2115,2020020001,2021-01-13,8479026,D
18,2,01:12,5,1,16:45,17:57,72,2205,2277,2020020001,2021-01-13,8479026,D
19,2,01:06,5,1,18:54,20:00,66,2334,2400,2020020001,2021-01-13,8479026,D
20,3,00:06,5,1,0:33,0:39,6,2433,2439,2020020001,2021-01-13,8479026,D
21,3,00:40,5,1,3:01,3:41,40,2581,2621,2020020001,2021-01-13,8479026,D
22,3,00:20,5,1,5:05,5:25,20,2705,2725,2020020001,2021-01-13,8479026,D
23,3,01:07,5,1,6:16,7:23,67,2776,2843,2020020001,2021-01-13,8479026,D
24,3,00:42,5,1,9:27,10:09,42,2967,3009,2020020001,2021-01-13,8479026,D
25,3,00:15,5,1,10:55,11:10,15,3055,3070,2020020001,2021-01-13,8479026,D
26,3,00:20,5,1,12:14,12:34,20,3134,3154,2020020001,2021-01-13,8479026,D
